id	name	int_name	alternative_names	latitude	longitude	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	country	date
3199296	Hrastnik	Hrastnik	Gmina Hrastnik,Hrastnik,Khrastnik,Obcina Hrastnik,Občina Hrastnik,Opstina Hrastnik,Opština Hrastnik,furasutoniku,he la si te ni ke,Храстник,フラストニク,赫拉斯特尼克	46.13333	15.09972	A	ADM1	SI		34				9984		577	Europe/Ljubljana	2014-04-22
3199297	Hrastnik	Hrastnik	Hrastnigg,Hrastnik,Khrastnik,Храстник	46.14611	15.08139	P	PPLA	SI		34				5621		298	Europe/Ljubljana	2014-04-27
3199298	Hrastnica	Hrastnica	Hrastenica,Hrastnica	46.16444	14.31472	H	STM	SI		00				0		336	Europe/Ljubljana	2012-01-19
3199300	Hrastje pri Cerkljah	Hrastje pri Cerkljah	Hrastje,Hrastje pri Cerkljah	45.9	15.5	P	PPL	SI		08				134		154	Europe/Ljubljana	2014-04-24
3199301	Hrastje ob Bistrici	Hrastje ob Bistrici	Hrastje,Hrastje ob Bistrici	46.06667	15.63333	P	PPL	SI		F5				148		303	Europe/Ljubljana	2014-04-24
3199302	Hrastje-Mota	Hrastje-Mota	Hrastje,Hrastje-Mota,Mota	46.61472	16.08583	P	PPL	SI		A1				360		195	Europe/Ljubljana	2014-04-24
3199303	Hrastje	Hrastje		46.21667	14.4	P	PPL	SI		B2				1051		370	Europe/Ljubljana	2014-04-24
3199304	Hrastje	Hrastje		46.08333	14.56667	P	PPL	SI		61				0		277	Europe/Ljubljana	2008-11-05
3199308	Hrastenice	Hrastenice	Hrastenica,Hrastenice	46.07511	14.3805	P	PPL	SI		G4				48		351	Europe/Ljubljana	2014-05-01
3199309	Hrastek	Hrastek	Hrastek	45.85	15.5	P	PPL	SI		54				25		333	Europe/Ljubljana	2014-04-24
3199316	Hraše	Hrase	Hrase,Hraše	46.36667	14.16667	P	PPL	SI		A3				218		508	Europe/Ljubljana	2014-04-25
3199317	Hraše	Hrase	Hrase,Hraše	46.16667	14.45	P	PPL	SI		71				422		496	Europe/Ljubljana	2014-04-25
3199321	Hrašče	Hrasce	Crastie,Hrasce,Hrase,Hraše,Hrašče	45.7775	14.14917	P	PPL	SI		94				429		559	Europe/Ljubljana	2020-06-11
3199324	Hramše	Hramse	Hramse,Hramše	46.31247	15.19201	P	PPL	SI		N5				189		484	Europe/Ljubljana	2014-04-26
3199332	Hotiza	Hotiza	Gyertjanos,Gyertjanoš,Hotiza,Hottiza,Murarev,Murarév	46.54944	16.36028	P	PPL	SI		I4				773		166	Europe/Ljubljana	2014-04-24
